
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056578                       # Number of seconds simulated (Second)
simTicks                                  56578092000                       # Number of ticks simulated (Tick)
finalTick                                 56578092000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    293.01                       # Real time elapsed on the host (Second)
hostTickRate                                193092875                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702076                       # Number of bytes of host memory used (Byte)
simInsts                                     48413712                       # Number of instructions simulated (Count)
simOps                                       86500844                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   165229                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     295215                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         56578093                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        97799418                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   917798                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95044984                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8929                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12216366                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14471333                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 132                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56477042                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.682896                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.035299                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24927286     44.14%     44.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9538387     16.89%     61.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5479684      9.70%     70.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4782033      8.47%     79.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3374739      5.98%     85.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4799546      8.50%     93.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2538855      4.50%     98.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    820782      1.45%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    215730      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56477042                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   81864     25.17%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.17% # attempts to use FU when none available (Count)
